v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
4.800000000000003e-001	2.046047e-010	-5.639013e-010	-2.046043e-010	-1.435139e-009	-3.625080e-009	-9.162636e-009
4.900000000000003e-001	2.590805e-010	-7.199082e-010	-2.590797e-010	-1.839197e-009	-4.657215e-009	-1.179124e-008
5.000000000000002e-001	3.287641e-010	-9.200097e-010	-3.287624e-010	-2.358373e-009	-5.985247e-009	-1.517542e-008
5.100000000000002e-001	4.179009e-010	-1.176661e-009	-4.178979e-010	-3.025395e-009	-7.693553e-009	-1.952951e-008
5.200000000000002e-001	5.319034e-010	-1.505776e-009	-5.318981e-010	-3.882120e-009	-9.889936e-009	-2.512601e-008
5.300000000000003e-001	6.776552e-010	-1.927639e-009	-6.776463e-010	-4.981924e-009	-1.271162e-008	-3.230938e-008
5.400000000000003e-001	8.638842e-010	-2.468022e-009	-8.638694e-010	-6.392622e-009	-1.633246e-008	-4.151214e-008
5.500000000000003e-001	1.101612e-009	-3.159528e-009	-1.101588e-009	-8.199965e-009	-2.097138e-008	-5.327259e-008
5.600000000000003e-001	1.404688e-009	-4.043182e-009	-1.404648e-009	-1.051173e-008	-2.690195e-008	-6.825349e-008
5.700000000000003e-001	1.790399e-009	-5.170257e-009	-1.790335e-009	-1.346233e-008	-3.446268e-008	-8.726014e-008
5.800000000000003e-001	2.280158e-009	-6.604300e-009	-2.280056e-009	-1.721780e-008	-4.406740e-008	-1.112558e-007
5.900000000000003e-001	2.900232e-009	-8.423264e-009	-2.900071e-009	-2.198088e-008	-5.621467e-008	-1.413714e-007
6.000000000000003e-001	3.682477e-009	-1.072162e-008	-3.682228e-009	-2.799558e-008	-7.149457e-008	-1.789079e-007
6.100000000000003e-001	4.665022e-009	-1.361220e-008	-4.664642e-009	-3.555081e-008	-9.059116e-008	-2.253262e-007
6.200000000000003e-001	5.892818e-009	-1.722760e-008	-5.892249e-009	-4.498198e-008	-1.142789e-007	-2.822275e-007
6.300000000000003e-001	7.417992e-009	-2.172079e-008	-7.417161e-009	-5.667011e-008	-1.434116e-007	-3.513204e-007
6.400000000000004e-001	9.299931e-009	-2.726471e-008	-9.298746e-009	-7.103760e-008	-1.789041e-007	-4.343808e-007
6.500000000000004e-001	1.160505e-008	-3.405076e-008	-1.160341e-008	-8.854063e-008	-2.217079e-007	-5.332074e-007
6.600000000000004e-001	1.440628e-008	-4.228609e-008	-1.440406e-008	-1.096585e-007	-2.727835e-007	-6.495767e-007
6.700000000000004e-001	1.778224e-008	-5.218990e-008	-1.777933e-008	-1.348809e-007	-3.330725e-007	-7.852039e-007
6.800000000000004e-001	2.181622e-008	-6.398897e-008	-2.181252e-008	-1.646943e-007	-4.034739e-007	-9.417094e-007
6.900000000000004e-001	2.659508e-008	-7.791272e-008	-2.659049e-008	-1.995690e-007	-4.848258e-007	-1.120596e-006
7.000000000000004e-001	3.220800e-008	-9.418832e-008	-3.220246e-008	-2.399482e-007	-5.778934e-007	-1.323232e-006
7.100000000000004e-001	3.874531e-008	-1.130360e-007	-3.873879e-008	-2.862401e-007	-6.833643e-007	-1.550847e-006
7.200000000000004e-001	4.629735e-008	-1.346653e-007	-4.628984e-008	-3.388130e-007	-8.018478e-007	-1.804525e-006
7.300000000000004e-001	5.495345e-008	-1.592716e-007	-5.494496e-008	-3.979933e-007	-9.338779e-007	-2.085212e-006
7.400000000000004e-001	6.480097e-008	-1.870341e-007	-6.479154e-008	-4.640666e-007	-1.079919e-006	-2.393721e-006
7.500000000000004e-001	7.592455e-008	-2.181147e-007	-7.591424e-008	-5.372794e-007	-1.240373e-006	-2.730739e-006
7.600000000000005e-001	8.840543e-008	-2.526575e-007	-8.839429e-008	-6.178434e-007	-1.415582e-006	-3.096835e-006
7.700000000000005e-001	1.023209e-007	-2.907890e-007	-1.023090e-007	-7.059390e-007	-1.605841e-006	-3.492474e-006
7.800000000000005e-001	1.177440e-007	-3.326196e-007	-1.177314e-007	-8.017195e-007	-1.811396e-006	-3.918025e-006
7.900000000000005e-001	1.347431e-007	-3.782443e-007	-1.347299e-007	-9.053148e-007	-2.032456e-006	-4.373766e-006
8.000000000000005e-001	1.533820e-007	-4.277444e-007	-1.533682e-007	-1.016835e-006	-2.269191e-006	-4.859901e-006
8.100000000000005e-001	1.737196e-007	-4.811894e-007	-1.737053e-007	-1.136373e-006	-2.521741e-006	-5.376563e-006
8.200000000000005e-001	1.958102e-007	-5.386386e-007	-1.957954e-007	-1.264007e-006	-2.790218e-006	-5.923822e-006
8.300000000000005e-001	2.197035e-007	-6.001420e-007	-2.196882e-007	-1.399803e-006	-3.074706e-006	-6.501699e-006
8.400000000000005e-001	2.454448e-007	-6.657424e-007	-2.454291e-007	-1.543816e-006	-3.375269e-006	-7.110167e-006
8.500000000000005e-001	2.730753e-007	-7.354762e-007	-2.730592e-007	-1.696093e-006	-3.691947e-006	-7.749159e-006
